,Casino,Free_internet,Gym,Helpful_votes,Hotel_name,Hotel_stars,Member_years,Nr_hotel_reviews,Nr_reviews,Nr_rooms,Period_of_stay,Pool,Review_month,Review_weekday,Score,Spa,Tennis_court,Traveler_type,User_continent
446,YES,YES,YES,2,Bellagio Las Vegas,5,10,8,11,3933,Jun-Aug,YES,August,Monday,1,YES,NO,Solo,North America
5,YES,YES,YES,27,Circus Circus Hotel & Casino Las Vegas,3,2,8,31,3773,Mar-May,NO,March,Tuesday,1,NO,NO,Couples,North America
116,YES,YES,YES,11,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,1,8,31,1467,Sep-Nov,YES,November,Sunday,1,YES,YES,Solo,Asia
45,YES,YES,YES,4,Excalibur Hotel & Casino,3,1,0,6,3981,Sep-Nov,YES,November,Sunday,1,YES,NO,Friends,Europe
16,YES,YES,YES,9,Circus Circus Hotel & Casino Las Vegas,3,4,8,8,3773,Sep-Nov,NO,September,Wednesday,0,NO,NO,Families,North America
493,YES,YES,YES,1,The Westin las Vegas Hotel Casino & Spa,4,6,8,9,826,Jun-Aug,YES,July,Monday,1,YES,NO,Couples,North America
361,NO,YES,YES,3,Hilton Grand Vacations at the Flamingo,3,3,3,8,315,Dec-Feb,YES,January,Thursday,1,NO,NO,Couples,North America
3,YES,YES,YES,14,Circus Circus Hotel & Casino Las Vegas,3,6,7,14,3773,Mar-May,NO,February,Friday,1,NO,NO,Friends,Europe
294,YES,YES,YES,58,Hilton Grand Vacations on the Boulevard,3,1,37,106,1228,Mar-May,YES,April,Sunday,1,YES,NO,Business,Oceania
185,YES,YES,YES,8,The Palazzo Resort Hotel Casino,5,2,4,93,3025,Sep-Nov,YES,September,Saturday,1,YES,NO,Families,North America
60,YES,NO,YES,4,Monte Carlo Resort&Casino,4,1,5,10,3003,Jun-Aug,YES,July,Friday,1,YES,NO,Families,Europe
110,YES,YES,YES,3,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,1,7,8,1467,Jun-Aug,YES,August,Saturday,1,YES,YES,Friends,Oceania
320,YES,YES,YES,339,Marriott's Grand Chateau,3,10,79,275,643,Mar-May,YES,April,Sunday,1,NO,NO,Couples,Oceania
265,YES,YES,YES,87,Encore at wynn Las Vegas,5,3,12,46,2034,Dec-Feb,YES,January,Tuesday,1,YES,NO,Couples,North America
29,YES,YES,YES,9,Excalibur Hotel & Casino,3,8,7,8,3981,Mar-May,YES,March,Wednesday,1,YES,NO,Couples,Europe
262,YES,YES,NO,22,The Cromwell,4,1,7,26,188,Dec-Feb,YES,January,Sunday,1,NO,NO,Couples,North America
476,YES,YES,YES,25,Paris Las Vegas,4,6,8,48,2916,Sep-Nov,YES,November,Monday,1,YES,NO,Couples,North America
26,YES,YES,YES,17,Excalibur Hotel & Casino,3,8,12,30,3981,Dec-Feb,YES,February,Friday,1,YES,NO,Couples,North America
7,YES,YES,YES,4,Circus Circus Hotel & Casino Las Vegas,3,10,1,2,3773,Mar-May,NO,April,Tuesday,1,NO,NO,Families,North America
457,YES,YES,YES,12,Paris Las Vegas,4,1,3,19,2916,Dec-Feb,YES,January,Wednesday,1,YES,NO,Couples,North America
108,YES,YES,YES,16,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,10,10,13,1467,Jun-Aug,YES,July,Wednesday,1,YES,YES,Solo,Europe
37,YES,YES,YES,7,Excalibur Hotel & Casino,3,1,3,6,3981,Jun-Aug,YES,July,Thursday,1,YES,NO,Friends,Africa
157,YES,YES,YES,0,The Cosmopolitan Las Vegas,5,7,3,3,2959,Jun-Aug,YES,July,Tuesday,1,YES,NO,Friends,Oceania
470,YES,YES,YES,65,Paris Las Vegas,4,4,37,85,2916,Jun-Aug,YES,August,Friday,1,YES,NO,Families,Africa
118,YES,YES,YES,11,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,4,6,10,1467,Dec-Feb,YES,December,Saturday,1,YES,YES,Couples,Europe
114,YES,YES,YES,6,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,1,6,22,1467,Sep-Nov,YES,October,Tuesday,1,YES,YES,Friends,Europe
175,YES,YES,YES,60,The Palazzo Resort Hotel Casino,5,10,33,66,3025,Mar-May,YES,April,Saturday,1,YES,NO,Couples,North America
192,YES,YES,YES,82,Wynn Las Vegas,5,4,48,164,2700,Dec-Feb,YES,January,Saturday,1,YES,YES,Couples,North America
272,YES,YES,YES,3,Encore at wynn Las Vegas,5,2,12,35,2034,Mar-May,YES,May,Friday,1,YES,NO,Business,North America
144,YES,YES,YES,14,The Cosmopolitan Las Vegas,5,3,9,16,2959,Dec-Feb,YES,January,Thursday,1,YES,NO,Friends,Oceania
488,YES,YES,YES,21,The Westin las Vegas Hotel Casino & Spa,4,4,17,20,826,Mar-May,YES,May,Sunday,1,YES,NO,Friends,North America
382,NO,YES,YES,25,Hilton Grand Vacations at the Flamingo,3,8,9,20,315,Dec-Feb,YES,December,Tuesday,1,NO,NO,Couples,North America
355,YES,YES,YES,17,Tuscany Las Vegas Suites & Casino,3,7,12,38,716,Sep-Nov,YES,October,Friday,1,YES,YES,Business,North America
277,YES,YES,YES,14,Encore at wynn Las Vegas,5,3,11,32,2034,Jun-Aug,YES,July,Sunday,1,YES,NO,Families,North America
220,YES,YES,YES,23,Trump International Hotel Las Vegas,5,5,8,49,1282,Mar-May,YES,March,Monday,1,YES,NO,Couples,North America
449,YES,YES,YES,31,Bellagio Las Vegas,5,2,13,62,3933,Sep-Nov,YES,September,Tuesday,1,YES,NO,Business,North America
141,YES,YES,YES,9,Caesars Palace,5,1,6,6,3348,Sep-Nov,YES,November,Sunday,1,YES,NO,Families,Oceania
368,NO,YES,YES,12,Hilton Grand Vacations at the Flamingo,3,6,8,11,315,Mar-May,YES,May,Sunday,1,NO,NO,Friends,North America
67,YES,NO,YES,3,Monte Carlo Resort&Casino,4,1,3,13,3003,Sep-Nov,YES,October,Sunday,0,YES,NO,Couples,North America
360,NO,YES,YES,72,Hilton Grand Vacations at the Flamingo,3,6,24,65,315,Dec-Feb,YES,January,Monday,1,NO,NO,Business,North America
168,YES,YES,YES,31,The Palazzo Resort Hotel Casino,5,4,23,28,3025,Dec-Feb,YES,January,Friday,1,YES,NO,Couples,North America
497,YES,YES,YES,59,The Westin las Vegas Hotel Casino & Spa,4,11,16,63,826,Sep-Nov,YES,September,Wednesday,1,YES,NO,Couples,North America
378,NO,YES,YES,9,Hilton Grand Vacations at the Flamingo,3,10,7,26,315,Sep-Nov,YES,October,Friday,1,NO,NO,Families,Oceania
365,NO,YES,YES,4,Hilton Grand Vacations at the Flamingo,3,2,7,9,315,Mar-May,YES,March,Tuesday,1,NO,NO,Couples,North America
193,YES,YES,YES,9,Wynn Las Vegas,5,4,3,5,2700,Dec-Feb,YES,January,Tuesday,1,YES,YES,Families,North America
249,YES,YES,NO,21,The Cromwell,4,10,9,59,188,Mar-May,YES,April,Sunday,1,NO,NO,Couples,North America
109,YES,YES,YES,17,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,1,6,18,1467,Jun-Aug,YES,July,Monday,1,YES,YES,Couples,Europe
433,YES,YES,YES,13,Bellagio Las Vegas,5,5,3,15,3933,Dec-Feb,YES,January,Thursday,1,YES,NO,Families,North America
145,YES,YES,YES,3,The Cosmopolitan Las Vegas,5,1,6,12,2959,Dec-Feb,YES,January,Thursday,1,YES,NO,Friends,Oceania
92,YES,YES,YES,1,Treasure Island- TI Hotel & Casino,4,7,3,4,2884,Sep-Nov,YES,November,Friday,1,YES,YES,Couples,Asia
152,YES,YES,YES,55,The Cosmopolitan Las Vegas,5,8,15,113,2959,Mar-May,YES,May,Thursday,1,YES,NO,Families,Europe
222,YES,YES,YES,6,Trump International Hotel Las Vegas,5,7,7,16,1282,Mar-May,YES,April,Monday,1,YES,NO,Couples,Asia
409,YES,YES,YES,9,The Venetian Las Vegas Hotel,5,1,6,20,4027,Dec-Feb,YES,January,Wednesday,1,YES,NO,Solo,North America
83,YES,YES,YES,5,Treasure Island- TI Hotel & Casino,4,2,5,6,2884,Jun-Aug,YES,June,Tuesday,1,YES,YES,Couples,North America
248,YES,YES,NO,267,The Cromwell,4,1,111,235,188,Mar-May,YES,April,Sunday,1,NO,NO,Friends,North America
165,YES,YES,YES,45,The Cosmopolitan Las Vegas,5,10,19,50,2959,Sep-Nov,YES,November,Friday,1,YES,NO,Business,North America
163,YES,YES,YES,16,The Cosmopolitan Las Vegas,5,1,4,18,2959,Sep-Nov,YES,October,Friday,1,YES,NO,Friends,Europe
199,YES,YES,YES,10,Wynn Las Vegas,5,1,7,11,2700,Mar-May,YES,April,Monday,1,YES,YES,Couples,North America
231,YES,YES,YES,24,Trump International Hotel Las Vegas,5,5,17,78,1282,Jun-Aug,YES,August,Monday,1,YES,NO,Couples,North America
74,YES,YES,YES,167,Treasure Island- TI Hotel & Casino,4,9,12,19,2884,Dec-Feb,YES,February,Monday,1,YES,YES,Friends,North America
310,YES,YES,YES,36,Hilton Grand Vacations on the Boulevard,3,1,11,42,1228,Dec-Feb,YES,January,Sunday,1,YES,NO,Couples,North America
454,YES,YES,YES,1,Bellagio Las Vegas,5,1,4,4,3933,Dec-Feb,YES,December,Monday,1,YES,NO,Business,Asia
253,YES,YES,NO,16,The Cromwell,4,10,0,4,188,Jun-Aug,YES,July,Sunday,0,NO,NO,Friends,North America
119,YES,YES,YES,3,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,4,3,12,1467,Dec-Feb,YES,December,Thursday,1,YES,YES,Families,Europe
284,YES,YES,YES,8,Encore at wynn Las Vegas,5,5,7,13,2034,Sep-Nov,YES,November,Sunday,1,YES,NO,Couples,Asia
301,YES,YES,YES,9,Hilton Grand Vacations on the Boulevard,3,10,0,10,1228,Jun-Aug,YES,July,Sunday,1,YES,NO,Families,Europe
481,YES,YES,YES,4,The Westin las Vegas Hotel Casino & Spa,4,7,3,15,826,Dec-Feb,YES,January,Tuesday,1,YES,NO,Families,North America
356,YES,YES,YES,119,Tuscany Las Vegas Suites & Casino,3,8,71,167,716,Sep-Nov,YES,November,Sunday,1,YES,YES,Couples,North America
402,NO,YES,YES,32,Wyndham Grand Desert,3,1,27,76,787,Sep-Nov,YES,October,Sunday,1,NO,YES,Couples,Europe
228,YES,YES,YES,55,Trump International Hotel Las Vegas,5,3,20,136,1282,Jun-Aug,YES,July,Sunday,1,YES,NO,Families,North America
261,YES,YES,NO,55,The Cromwell,4,1,33,148,188,Sep-Nov,YES,October,Sunday,1,NO,NO,Business,North America
237,YES,YES,YES,17,Trump International Hotel Las Vegas,5,2,16,35,1282,Sep-Nov,YES,November,Tuesday,1,YES,NO,Families,Oceania
437,YES,YES,YES,17,Bellagio Las Vegas,5,10,9,30,3933,Mar-May,YES,March,Tuesday,0,YES,NO,Business,North America
474,YES,YES,YES,10,Paris Las Vegas,4,2,3,18,2916,Sep-Nov,YES,October,Monday,0,YES,NO,Couples,North America
36,YES,YES,YES,24,Excalibur Hotel & Casino,3,6,27,70,3981,Jun-Aug,YES,July,Friday,1,YES,NO,Friends,North America
196,YES,YES,YES,16,Wynn Las Vegas,5,6,13,20,2700,Mar-May,YES,March,Friday,1,YES,YES,Friends,North America
139,YES,YES,YES,16,Caesars Palace,5,2,12,39,3348,Sep-Nov,YES,October,Thursday,1,YES,NO,Friends,North America
367,NO,YES,YES,33,Hilton Grand Vacations at the Flamingo,3,4,48,113,315,Mar-May,YES,April,Sunday,1,NO,NO,Families,North America
247,YES,YES,NO,4,The Cromwell,4,1,0,14,188,Mar-May,YES,April,Sunday,0,NO,NO,Families,North America
287,YES,YES,YES,6,Encore at wynn Las Vegas,5,7,10,11,2034,Dec-Feb,YES,December,Tuesday,1,YES,NO,Business,North America
377,NO,YES,YES,300,Hilton Grand Vacations at the Flamingo,3,10,263,290,315,Sep-Nov,YES,September,Saturday,1,NO,NO,Business,North America
59,YES,NO,YES,15,Monte Carlo Resort&Casino,4,1,9,13,3003,Jun-Aug,YES,June,Monday,1,YES,NO,Friends,North America
111,YES,YES,YES,6,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,10,4,15,1467,Jun-Aug,YES,August,Friday,1,YES,YES,Couples,Oceania
89,YES,YES,YES,30,Treasure Island- TI Hotel & Casino,4,2,11,78,2884,Sep-Nov,YES,September,Tuesday,1,YES,YES,Business,North America
266,YES,YES,YES,81,Encore at wynn Las Vegas,5,8,40,127,2034,Dec-Feb,YES,February,Thursday,1,YES,NO,Couples,Europe
6,YES,YES,YES,46,Circus Circus Hotel & Casino Las Vegas,3,4,12,45,3773,Mar-May,NO,April,Friday,1,NO,NO,Couples,Europe
456,YES,YES,YES,7,Paris Las Vegas,4,7,3,14,2916,Dec-Feb,YES,January,Saturday,1,YES,NO,Couples,North America
347,YES,YES,YES,17,Tuscany Las Vegas Suites & Casino,3,6,15,27,716,Jun-Aug,YES,June,Tuesday,1,YES,YES,Couples,North America
340,YES,YES,YES,3,Tuscany Las Vegas Suites & Casino,3,8,4,5,716,Mar-May,YES,March,Sunday,1,YES,YES,Friends,North America
158,YES,YES,YES,56,The Cosmopolitan Las Vegas,5,4,10,41,2959,Jun-Aug,YES,August,Saturday,1,YES,NO,Families,North America
150,YES,YES,YES,21,The Cosmopolitan Las Vegas,5,7,7,23,2959,Mar-May,YES,April,Thursday,1,YES,NO,Friends,Europe
177,YES,YES,YES,71,The Palazzo Resort Hotel Casino,5,1,20,57,3025,Mar-May,YES,May,Friday,1,YES,NO,Business,Europe
396,NO,YES,YES,14,Wyndham Grand Desert,3,1,3,6,787,Jun-Aug,YES,July,Sunday,1,NO,YES,Families,Europe
184,YES,YES,YES,78,The Palazzo Resort Hotel Casino,5,8,48,52,3025,Sep-Nov,YES,September,Saturday,1,YES,NO,Friends,Europe
317,YES,YES,YES,131,Marriott's Grand Chateau,3,10,107,118,643,Mar-May,YES,April,Sunday,1,NO,NO,Business,Europe
10,YES,YES,YES,58,Circus Circus Hotel & Casino Las Vegas,3,9,24,102,3773,Jun-Aug,NO,June,Friday,0,NO,NO,Families,North America
383,NO,YES,YES,3,Hilton Grand Vacations at the Flamingo,3,2,3,3,315,Dec-Feb,YES,December,Wednesday,1,NO,NO,Families,North America
103,YES,YES,YES,103,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,3,15,88,1467,Mar-May,YES,April,Monday,1,YES,YES,Business,Asia
81,YES,YES,YES,5,Treasure Island- TI Hotel & Casino,4,3,0,10,2884,Mar-May,YES,May,Sunday,1,YES,YES,Friends,Europe
38,YES,YES,YES,299,Excalibur Hotel & Casino,3,10,263,290,3981,Jun-Aug,YES,August,Monday,1,YES,NO,Couples,North America
316,YES,YES,YES,55,Marriott's Grand Chateau,3,1,37,95,643,Mar-May,YES,April,Sunday,1,NO,NO,Friends,Europe
167,YES,YES,YES,8,The Cosmopolitan Las Vegas,5,5,3,7,2959,Dec-Feb,YES,December,Sunday,1,YES,NO,Families,North America
473,YES,YES,YES,13,Paris Las Vegas,4,2,6,13,2916,Sep-Nov,YES,September,Tuesday,1,YES,NO,Couples,North America
298,YES,YES,YES,4,Hilton Grand Vacations on the Boulevard,3,1,3,9,1228,Jun-Aug,YES,July,Sunday,1,YES,NO,Friends,North America
404,NO,YES,YES,23,Wyndham Grand Desert,3,10,9,23,787,Sep-Nov,YES,October,Sunday,1,NO,YES,Families,Asia
198,YES,YES,YES,48,Wynn Las Vegas,5,4,35,125,2700,Mar-May,YES,April,Sunday,1,YES,YES,Business,North America
376,NO,YES,YES,24,Hilton Grand Vacations at the Flamingo,3,4,18,56,315,Sep-Nov,YES,September,Saturday,1,NO,NO,Friends,North America
146,YES,YES,YES,15,The Cosmopolitan Las Vegas,5,2,9,36,2959,Dec-Feb,YES,February,Saturday,1,YES,NO,Friends,Europe
395,NO,YES,YES,7,Wyndham Grand Desert,3,1,12,23,787,Jun-Aug,YES,July,Sunday,1,NO,YES,Families,Asia
147,YES,YES,YES,80,The Cosmopolitan Las Vegas,5,8,40,127,2959,Dec-Feb,YES,February,Wednesday,1,YES,NO,Couples,Europe
482,YES,YES,YES,129,The Westin las Vegas Hotel Casino & Spa,4,3,72,189,826,Dec-Feb,YES,February,Friday,1,YES,NO,Solo,Europe
289,YES,YES,YES,48,Hilton Grand Vacations on the Boulevard,3,1,39,50,1228,Dec-Feb,YES,January,Sunday,0,YES,NO,Families,North America
123,YES,YES,YES,12,Caesars Palace,5,2,3,14,3348,Dec-Feb,YES,February,Thursday,1,YES,NO,Families,North America
371,NO,YES,YES,22,Hilton Grand Vacations at the Flamingo,3,5,12,32,315,Jun-Aug,YES,June,Wednesday,1,NO,NO,Couples,Oceania
96,YES,YES,YES,30,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,8,17,34,1467,Dec-Feb,YES,January,Sunday,1,YES,YES,Families,Europe
143,YES,YES,YES,67,Caesars Palace,5,13,21,48,3348,Dec-Feb,YES,December,Sunday,1,YES,NO,Couples,North America
239,YES,YES,YES,24,Trump International Hotel Las Vegas,5,3,25,53,1282,Dec-Feb,YES,December,Sunday,1,YES,NO,Couples,North America
275,YES,YES,YES,26,Encore at wynn Las Vegas,5,4,8,34,2034,Jun-Aug,YES,June,Tuesday,1,YES,NO,Business,North America
97,YES,YES,YES,1,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,2,6,12,1467,Dec-Feb,YES,January,Sunday,1,YES,YES,Friends,North America
352,YES,YES,YES,16,Tuscany Las Vegas Suites & Casino,3,5,15,27,716,Sep-Nov,YES,September,Sunday,1,YES,YES,Couples,Oceania
122,YES,YES,YES,81,Caesars Palace,5,10,38,153,3348,Dec-Feb,YES,February,Tuesday,1,YES,NO,Families,North America
183,YES,YES,YES,26,The Palazzo Resort Hotel Casino,5,3,16,91,3025,Jun-Aug,YES,August,Wednesday,1,YES,NO,Business,North America
202,YES,YES,YES,365,Wynn Las Vegas,5,6,27,73,2700,Jun-Aug,YES,June,Wednesday,1,YES,YES,Couples,North America
246,YES,YES,NO,1,The Cromwell,4,10,0,3,188,Mar-May,YES,April,Sunday,1,NO,NO,Couples,North America
307,YES,YES,YES,11,Hilton Grand Vacations on the Boulevard,3,1,5,9,1228,Sep-Nov,YES,October,Sunday,1,YES,NO,Business,North America
422,YES,YES,YES,24,The Venetian Las Vegas Hotel,5,10,8,19,4027,Jun-Aug,YES,August,Wednesday,1,YES,NO,Families,North America
353,YES,YES,YES,6,Tuscany Las Vegas Suites & Casino,3,1,4,13,716,Sep-Nov,YES,September,Wednesday,1,YES,YES,Couples,North America
302,YES,YES,YES,24,Hilton Grand Vacations on the Boulevard,3,10,17,78,1228,Jun-Aug,YES,July,Sunday,1,YES,NO,Couples,North America
398,NO,YES,YES,14,Wyndham Grand Desert,3,10,8,41,787,Jun-Aug,YES,July,Sunday,1,NO,YES,Families,North America
286,YES,YES,YES,41,Encore at wynn Las Vegas,5,8,25,169,2034,Dec-Feb,YES,December,Tuesday,1,YES,NO,Friends,North America
125,YES,YES,YES,29,Caesars Palace,5,9,10,15,3348,Mar-May,YES,March,Friday,1,YES,NO,Families,North America
304,YES,YES,YES,41,Hilton Grand Vacations on the Boulevard,3,10,34,112,1228,Sep-Nov,YES,October,Sunday,1,YES,NO,Families,North America
223,YES,YES,YES,1,Trump International Hotel Las Vegas,5,1,0,1,1282,Mar-May,YES,April,Wednesday,1,YES,NO,Couples,North America
421,YES,YES,YES,12,The Venetian Las Vegas Hotel,5,5,7,13,4027,Jun-Aug,YES,July,Sunday,1,YES,NO,Couples,Europe
219,YES,YES,YES,2,Trump International Hotel Las Vegas,5,10,0,1,1282,Dec-Feb,YES,February,Tuesday,1,YES,NO,Families,North America
129,YES,YES,YES,35,Caesars Palace,5,5,27,63,3348,Mar-May,YES,May,Wednesday,1,YES,NO,Couples,Europe
423,YES,YES,YES,15,The Venetian Las Vegas Hotel,5,3,6,21,4027,Jun-Aug,YES,August,Saturday,1,YES,NO,Couples,Europe
291,YES,YES,YES,4,Hilton Grand Vacations on the Boulevard,3,1,4,7,1228,Dec-Feb,YES,January,Sunday,1,YES,NO,Couples,North America
491,YES,YES,YES,11,The Westin las Vegas Hotel Casino & Spa,4,5,13,38,826,Jun-Aug,YES,June,Sunday,1,YES,NO,Business,North America
393,NO,YES,YES,15,Wyndham Grand Desert,3,10,10,54,787,Mar-May,YES,April,Sunday,1,NO,YES,Business,North America
478,YES,YES,YES,63,Paris Las Vegas,4,4,26,123,2916,Dec-Feb,YES,December,Saturday,1,YES,NO,Couples,North America
357,YES,YES,YES,9,Tuscany Las Vegas Suites & Casino,3,3,6,28,716,Sep-Nov,YES,November,Tuesday,1,YES,YES,Business,North America
296,YES,YES,YES,38,Hilton Grand Vacations on the Boulevard,3,10,31,37,1228,Mar-May,YES,April,Sunday,1,YES,NO,Families,South America
369,NO,YES,YES,1,Hilton Grand Vacations at the Flamingo,3,3,1,2,315,Mar-May,YES,May,Tuesday,1,NO,NO,Families,North America
342,YES,YES,YES,9,Tuscany Las Vegas Suites & Casino,3,7,5,11,716,Mar-May,YES,April,Monday,1,YES,YES,Couples,South America
112,YES,YES,YES,9,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,1,0,27,1467,Sep-Nov,YES,September,Tuesday,0,YES,YES,Couples,North America
179,YES,YES,YES,14,The Palazzo Resort Hotel Casino,5,8,20,28,3025,Jun-Aug,YES,June,Friday,1,YES,NO,Couples,North America
418,YES,YES,YES,6,The Venetian Las Vegas Hotel,5,1,5,7,4027,Jun-Aug,YES,June,Monday,1,YES,NO,Couples,North America
341,YES,YES,YES,34,Tuscany Las Vegas Suites & Casino,3,7,17,26,716,Mar-May,YES,March,Thursday,1,YES,YES,Couples,North America
332,YES,YES,YES,20,Marriott's Grand Chateau,3,1,23,47,643,Sep-Nov,YES,October,Sunday,1,NO,NO,Couples,Asia
485,YES,YES,YES,13,The Westin las Vegas Hotel Casino & Spa,4,4,7,14,826,Mar-May,YES,March,Thursday,1,YES,NO,Friends,North America
362,NO,YES,YES,26,Hilton Grand Vacations at the Flamingo,3,4,13,61,315,Dec-Feb,YES,February,Sunday,0,NO,NO,Couples,Europe
233,YES,YES,YES,15,Trump International Hotel Las Vegas,5,1,0,2,1282,Sep-Nov,YES,September,Monday,0,YES,NO,Families,Africa
471,YES,YES,YES,26,Paris Las Vegas,4,3,7,73,2916,Jun-Aug,YES,August,Thursday,1,YES,NO,Couples,North America
164,YES,YES,YES,7,The Cosmopolitan Las Vegas,5,5,7,9,2959,Sep-Nov,YES,November,Wednesday,1,YES,NO,Business,Africa
136,YES,YES,YES,4,Caesars Palace,5,3,3,4,3348,Sep-Nov,YES,September,Monday,1,YES,NO,Couples,North America
197,YES,YES,YES,12,Wynn Las Vegas,5,8,5,21,2700,Mar-May,YES,March,Monday,1,YES,YES,Business,North America
258,YES,YES,NO,116,The Cromwell,4,10,61,131,188,Sep-Nov,YES,October,Sunday,1,NO,NO,Families,North America
232,YES,YES,YES,12,Trump International Hotel Las Vegas,5,1,18,24,1282,Sep-Nov,YES,September,Thursday,1,YES,NO,Families,Europe
115,YES,YES,YES,11,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,1,3,5,1467,Sep-Nov,YES,October,Thursday,0,YES,YES,Friends,North America
120,YES,YES,YES,24,Caesars Palace,5,7,14,50,3348,Dec-Feb,YES,January,Wednesday,1,YES,NO,Friends,North America
351,YES,YES,YES,19,Tuscany Las Vegas Suites & Casino,3,6,3,11,716,Jun-Aug,YES,August,Monday,1,YES,YES,Couples,North America
224,YES,YES,YES,17,Trump International Hotel Las Vegas,5,7,11,19,1282,Mar-May,YES,May,Friday,1,YES,NO,Families,Asia
405,NO,YES,YES,47,Wyndham Grand Desert,3,1,24,182,787,Sep-Nov,YES,October,Sunday,1,NO,YES,Families,North America
436,YES,YES,YES,53,Bellagio Las Vegas,5,6,35,44,3933,Mar-May,YES,March,Tuesday,1,YES,NO,Couples,Asia
