,Casino,Free_internet,Gym,Helpful_votes,Hotel_name,Hotel_stars,Member_years,Nr_hotel_reviews,Nr_reviews,Nr_rooms,Period_of_stay,Pool,Review_month,Review_weekday,Score,Spa,Tennis_court,Traveler_type,User_continent,User_country
71,True,False,True,36,Monte Carlo Resort&Casino,4,3.0,14,56,3003.0,Dec-Feb,True,December,Monday,1,True,False,Couples,North America,Mexico
72,True,True,True,14,Treasure Island- TI Hotel & Casino,4,6.0,11,29,2884.0,Dec-Feb,True,January,Sunday,0,True,True,Business,Europe,Croatia
73,True,True,True,8,Treasure Island- TI Hotel & Casino,4,1.0,5,11,2884.0,Dec-Feb,True,January,Thursday,1,True,True,Couples,Oceania,Australia
74,True,True,True,167,Treasure Island- TI Hotel & Casino,4,9.0,12,19,2884.0,Dec-Feb,True,February,Monday,1,True,True,Friends,North America,Canada
75,True,True,True,16,Treasure Island- TI Hotel & Casino,4,1.0,9,17,2884.0,Dec-Feb,True,February,Monday,1,True,True,Solo,North America,USA
76,True,True,True,20,Treasure Island- TI Hotel & Casino,4,1.0,8,43,2884.0,Mar-May,True,March,Friday,1,True,True,Couples,North America,USA
77,True,True,True,3,Treasure Island- TI Hotel & Casino,4,2.0,8,12,2884.0,Mar-May,True,March,Saturday,1,True,True,Friends,North America,Canada
78,True,True,True,7,Treasure Island- TI Hotel & Casino,4,9.0,14,15,2884.0,Mar-May,True,April,Tuesday,1,True,True,Friends,North America,USA
79,True,True,True,16,Treasure Island- TI Hotel & Casino,4,6.0,13,16,2884.0,Mar-May,True,April,Wednesday,0,True,True,Families,Oceania,Australia
80,True,True,True,25,Treasure Island- TI Hotel & Casino,4,1.0,4,12,2884.0,Mar-May,True,May,Friday,0,True,True,Families,Asia,India
81,True,True,True,5,Treasure Island- TI Hotel & Casino,4,3.0,0,10,2884.0,Mar-May,True,May,Sunday,1,True,True,Friends,Europe,Germany
82,True,True,True,16,Treasure Island- TI Hotel & Casino,4,6.0,17,27,2884.0,Jun-Aug,True,June,Thursday,0,True,True,Families,North America,USA
83,True,True,True,5,Treasure Island- TI Hotel & Casino,4,2.0,5,6,2884.0,Jun-Aug,True,June,Tuesday,1,True,True,Couples,North America,Canada
84,True,True,True,14,Treasure Island- TI Hotel & Casino,4,3.0,20,21,2884.0,Jun-Aug,True,July,Wednesday,1,True,True,Couples,Oceania,Australia
85,True,True,True,27,Treasure Island- TI Hotel & Casino,4,5.0,14,43,2884.0,Jun-Aug,True,July,Thursday,1,True,True,Solo,Asia,Malaysia
86,True,True,True,37,Treasure Island- TI Hotel & Casino,4,8.0,31,97,2884.0,Jun-Aug,True,August,Saturday,1,True,True,Couples,South America,Mexico
87,True,True,True,4,Treasure Island- TI Hotel & Casino,4,5.0,3,7,2884.0,Jun-Aug,True,August,Friday,1,True,True,Couples,Europe,UK
88,True,True,True,6,Treasure Island- TI Hotel & Casino,4,1.0,9,11,2884.0,Sep-Nov,True,September,Friday,0,True,True,Couples,Europe,UK
89,True,True,True,30,Treasure Island- TI Hotel & Casino,4,2.0,11,78,2884.0,Sep-Nov,True,September,Tuesday,1,True,True,Business,North America,USA
90,True,True,True,4,Treasure Island- TI Hotel & Casino,4,5.0,7,12,2884.0,Sep-Nov,True,October,Monday,1,True,True,Families,Oceania,Australia
91,True,True,True,5,Treasure Island- TI Hotel & Casino,4,2.0,11,27,2884.0,Sep-Nov,True,October,Monday,0,True,True,Couples,North America,USA
92,True,True,True,1,Treasure Island- TI Hotel & Casino,4,7.0,3,4,2884.0,Sep-Nov,True,November,Friday,1,True,True,Couples,Asia,Thailand
93,True,True,True,8,Treasure Island- TI Hotel & Casino,4,2.0,9,27,2884.0,Sep-Nov,True,November,Friday,1,True,True,Families,Oceania,Australia
94,True,True,True,7,Treasure Island- TI Hotel & Casino,4,4.0,3,12,2884.0,Dec-Feb,True,December,Saturday,1,True,True,Friends,North America,Canada
95,True,True,True,48,Treasure Island- TI Hotel & Casino,4,12.0,16,21,2884.0,Dec-Feb,True,December,Thursday,1,True,True,Couples,North America,Canada
96,True,True,True,30,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,8.0,17,34,1467.0,Dec-Feb,True,January,Sunday,1,True,True,Families,Europe,UK
97,True,True,True,1,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,2.0,6,12,1467.0,Dec-Feb,True,January,Sunday,1,True,True,Friends,North America,USA
98,True,True,True,51,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,5.0,39,79,1467.0,Dec-Feb,True,February,Wednesday,0,True,True,Couples,Asia,Phillippines
99,True,True,True,16,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,2.0,10,18,1467.0,Dec-Feb,True,February,Thursday,0,True,True,Business,Asia,Israel
100,True,True,True,8,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,3.0,3,13,1467.0,Mar-May,True,March,Wednesday,1,True,True,Business,North America,Canada
101,True,True,True,9,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,1.0,4,14,1467.0,Mar-May,True,March,Friday,1,True,True,Couples,Europe,UK
102,True,True,True,28,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,3.0,9,19,1467.0,Mar-May,True,April,Friday,1,True,True,Couples,Europe,Ireland
103,True,True,True,103,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,3.0,15,88,1467.0,Mar-May,True,April,Monday,1,True,True,Business,Asia,India 
104,True,True,True,0,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,1.0,4,8,1467.0,Mar-May,True,May,Tuesday,1,True,True,Couples,Oceania,New Zeland
105,True,True,True,31,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,1.0,15,39,1467.0,Mar-May,True,May,Sunday,0,True,True,Friends,Europe,Belgium
106,True,True,True,61,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,3.0,41,130,1467.0,Jun-Aug,True,June,Tuesday,1,True,True,Business,Europe,UK
107,True,True,True,105,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,7.0,78,79,1467.0,Jun-Aug,True,June,Wednesday,1,True,True,Friends,Oceania,Australia
108,True,True,True,16,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,10.0,10,13,1467.0,Jun-Aug,True,July,Wednesday,1,True,True,Solo,Europe,UK
109,True,True,True,17,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,1.0,6,18,1467.0,Jun-Aug,True,July,Monday,1,True,True,Couples,Europe,UK
110,True,True,True,3,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,1.0,7,8,1467.0,Jun-Aug,True,August,Saturday,1,True,True,Friends,Oceania,New Zeland
111,True,True,True,6,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,1.0,4,15,1467.0,Jun-Aug,True,August,Friday,1,True,True,Couples,Oceania,Australia
112,True,True,True,9,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,1.0,0,27,1467.0,Sep-Nov,True,September,Tuesday,0,True,True,Couples,North America,Canada
113,True,True,True,2,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,5.0,3,5,1467.0,Sep-Nov,True,September,Wednesday,1,True,True,Couples,Oceania,Australia
114,True,True,True,6,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,1.0,6,22,1467.0,Sep-Nov,True,October,Tuesday,1,True,True,Friends,Europe,UK
115,True,True,True,11,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,1.0,3,5,1467.0,Sep-Nov,True,October,Thursday,0,True,True,Friends,North America,USA
116,True,True,True,11,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,1.0,8,31,1467.0,Sep-Nov,True,November,Sunday,1,True,True,Solo,Asia,India
117,True,True,True,8,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,7.0,8,33,1467.0,Sep-Nov,True,November,Saturday,1,True,True,Friends,Europe,Netherlands
118,True,True,True,11,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,4.0,6,10,1467.0,Dec-Feb,True,December,Saturday,1,True,True,Couples,Europe,UK
119,True,True,True,3,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,4.0,3,12,1467.0,Dec-Feb,True,December,Thursday,1,True,True,Families,Europe,UK
120,True,True,True,24,Caesars Palace,5,7.0,14,50,3348.0,Dec-Feb,True,January,Wednesday,1,True,False,Friends,North America,USA
121,True,True,True,85,Caesars Palace,5,3.0,33,161,3348.0,Dec-Feb,True,January,Friday,1,True,False,Couples,North America,USA
122,True,True,True,81,Caesars Palace,5,10.0,38,153,3348.0,Dec-Feb,True,February,Tuesday,1,True,False,Families,North America,Puerto Rico
123,True,True,True,12,Caesars Palace,5,2.0,3,14,3348.0,Dec-Feb,True,February,Thursday,1,True,False,Families,North America,Canada
124,True,True,True,10,Caesars Palace,5,4.0,12,31,3348.0,Mar-May,True,March,Friday,1,True,False,Families,North America,USA
125,True,True,True,29,Caesars Palace,5,9.0,10,15,3348.0,Mar-May,True,March,Friday,0,True,False,Families,North America,USA
126,True,True,True,4,Caesars Palace,5,3.0,5,5,3348.0,Mar-May,True,April,Thursday,1,True,False,Couples,North America,Canada
127,True,True,True,21,Caesars Palace,5,2.0,4,46,3348.0,Mar-May,True,April,Saturday,1,True,False,Couples,North America,USA
128,True,True,True,39,Caesars Palace,5,4.0,6,15,3348.0,Mar-May,True,May,Sunday,0,True,False,Couples,Europe,UK
129,True,True,True,35,Caesars Palace,5,5.0,27,63,3348.0,Mar-May,True,May,Wednesday,1,True,False,Couples,Europe,UK
130,True,True,True,13,Caesars Palace,5,2.0,15,17,3348.0,Jun-Aug,True,June,Sunday,1,True,False,Couples,North America,USA
131,True,True,True,36,Caesars Palace,5,9.0,22,25,3348.0,Jun-Aug,True,June,Tuesday,0,True,False,Solo,North America,USA
132,True,True,True,4,Caesars Palace,5,1.0,8,14,3348.0,Jun-Aug,True,July,Monday,1,True,False,Couples,North America,USA
133,True,True,True,37,Caesars Palace,5,6.0,56,59,3348.0,Jun-Aug,True,July,Tuesday,0,True,False,Families,Europe,UK
134,True,True,True,17,Caesars Palace,5,3.0,10,11,3348.0,Jun-Aug,True,August,Friday,1,True,False,Families,Europe,UK
135,True,True,True,31,Caesars Palace,5,5.0,18,54,3348.0,Jun-Aug,True,August,Wednesday,1,True,False,Friends,North America,Canada
136,True,True,True,4,Caesars Palace,5,3.0,3,4,3348.0,Sep-Nov,True,September,Monday,1,True,False,Couples,North America,USA
137,True,True,True,7,Caesars Palace,5,3.0,7,10,3348.0,Sep-Nov,True,September,Tuesday,1,True,False,Couples,North America,USA
138,True,True,True,7,Caesars Palace,5,11.0,6,14,3348.0,Sep-Nov,True,October,Sunday,1,True,False,Business,North America,USA
139,True,True,True,16,Caesars Palace,5,2.0,12,39,3348.0,Sep-Nov,True,October,Thursday,1,True,False,Friends,North America,USA
140,True,True,True,43,Caesars Palace,5,4.0,24,35,3348.0,Sep-Nov,True,November,Sunday,1,True,False,Couples,Oceania,Australia
141,True,True,True,9,Caesars Palace,5,1.0,6,6,3348.0,Sep-Nov,True,November,Sunday,0,True,False,Families,Oceania,Australia
142,True,True,True,2,Caesars Palace,5,3.0,7,23,3348.0,Dec-Feb,True,December,Friday,1,True,False,Families,North America,USA
143,True,True,True,67,Caesars Palace,5,13.0,21,48,3348.0,Dec-Feb,True,December,Sunday,1,True,False,Couples,North America,USA
144,True,True,True,14,The Cosmopolitan Las Vegas,5,3.0,9,16,2959.0,Dec-Feb,True,January,Thursday,1,True,False,Friends,Oceania,Australia
145,True,True,True,3,The Cosmopolitan Las Vegas,5,1.0,6,12,2959.0,Dec-Feb,True,January,Thursday,1,True,False,Friends,Oceania,Australia
146,True,True,True,15,The Cosmopolitan Las Vegas,5,2.0,9,36,2959.0,Dec-Feb,True,February,Saturday,1,True,False,Friends,Europe,Switzerland
147,True,True,True,80,The Cosmopolitan Las Vegas,5,8.0,40,127,2959.0,Dec-Feb,True,February,Wednesday,1,True,False,Couples,Europe,UK
148,True,True,True,1,The Cosmopolitan Las Vegas,5,1.0,5,12,2959.0,Mar-May,True,March,Monday,1,True,False,Couples,North America,USA
149,True,True,True,74,The Cosmopolitan Las Vegas,5,10.0,17,17,2959.0,Mar-May,True,March,Saturday,1,True,False,Couples,North America,USA
150,True,True,True,21,The Cosmopolitan Las Vegas,5,7.0,7,23,2959.0,Mar-May,True,April,Thursday,1,True,False,Friends,Europe,Ireland
151,True,True,True,45,The Cosmopolitan Las Vegas,5,2.0,17,102,2959.0,Mar-May,True,April,Monday,1,True,False,Business,North America,USA
152,True,True,True,55,The Cosmopolitan Las Vegas,5,8.0,15,113,2959.0,Mar-May,True,May,Thursday,1,True,False,Families,Europe,Germany
153,True,True,True,10,The Cosmopolitan Las Vegas,5,1.0,8,30,2959.0,Mar-May,True,May,Wednesday,0,True,False,Business,North America,USA
154,True,True,True,24,The Cosmopolitan Las Vegas,5,7.0,24,24,2959.0,Jun-Aug,True,June,Wednesday,0,True,False,Couples,Europe,Germany
155,True,True,True,18,The Cosmopolitan Las Vegas,5,3.0,5,15,2959.0,Jun-Aug,True,June,Wednesday,1,True,False,Friends,Europe,Ireland
156,True,True,True,14,The Cosmopolitan Las Vegas,5,1.0,4,6,2959.0,Jun-Aug,True,July,Wednesday,0,True,False,Business,North America,USA
157,True,True,True,0,The Cosmopolitan Las Vegas,5,7.0,3,3,2959.0,Jun-Aug,True,July,Tuesday,1,True,False,Friends,Oceania,Australia
158,True,True,True,56,The Cosmopolitan Las Vegas,5,4.0,10,41,2959.0,Jun-Aug,True,August,Saturday,1,True,False,Families,North America,Canada
159,True,True,True,56,The Cosmopolitan Las Vegas,5,10.0,8,19,2959.0,Jun-Aug,True,August,Sunday,1,True,False,Couples,North America,USA
160,True,True,True,10,The Cosmopolitan Las Vegas,5,1.0,9,18,2959.0,Sep-Nov,True,September,Wednesday,1,True,False,Couples,Europe,UK
161,True,True,True,7,The Cosmopolitan Las Vegas,5,7.0,6,6,2959.0,Sep-Nov,True,September,Tuesday,1,True,False,Couples,Europe,Norway
162,True,True,True,98,The Cosmopolitan Las Vegas,5,7.0,5,103,2959.0,Sep-Nov,True,October,Monday,1,True,False,Couples,North America,USA
163,True,True,True,16,The Cosmopolitan Las Vegas,5,10.0,4,18,2959.0,Sep-Nov,True,October,Friday,1,True,False,Friends,Europe,UK
164,True,True,True,7,The Cosmopolitan Las Vegas,5,5.0,7,9,2959.0,Sep-Nov,True,November,Wednesday,1,True,False,Business,Africa,Egypt
165,True,True,True,45,The Cosmopolitan Las Vegas,5,1.0,19,50,2959.0,Sep-Nov,True,November,Friday,1,True,False,Business,North America,USA
166,True,True,True,8,The Cosmopolitan Las Vegas,5,8.0,3,4,2959.0,Dec-Feb,True,December,Tuesday,0,True,False,Couples,North America,Canada
167,True,True,True,8,The Cosmopolitan Las Vegas,5,5.0,3,7,2959.0,Dec-Feb,True,December,Sunday,1,True,False,Families,North America,USA
168,True,True,True,31,The Palazzo Resort Hotel Casino,5,4.0,23,28,3025.0,Dec-Feb,True,January,Friday,0,True,False,Couples,North America,Mexico
169,True,True,True,11,The Palazzo Resort Hotel Casino,5,10.0,6,32,3025.0,Dec-Feb,True,January,Friday,1,True,False,Families,North America,USA
170,True,True,True,4,The Palazzo Resort Hotel Casino,5,9.0,0,4,3025.0,Dec-Feb,True,February,Friday,1,True,False,Couples,North America,Canada
171,True,True,True,9,The Palazzo Resort Hotel Casino,5,3.0,8,37,3025.0,Dec-Feb,True,February,Tuesday,1,True,False,Couples,North America,USA
172,True,True,True,7,The Palazzo Resort Hotel Casino,5,6.0,3,10,3025.0,Mar-May,True,March,Wednesday,1,True,False,Families,North America,Canada
173,True,True,True,80,The Palazzo Resort Hotel Casino,5,8.0,30,36,3025.0,Mar-May,True,March,Friday,1,True,False,Families,North America,Canada
174,True,True,True,14,The Palazzo Resort Hotel Casino,5,5.0,10,31,3025.0,Mar-May,True,April,Sunday,1,True,False,Couples,North America,USA
175,True,True,True,60,The Palazzo Resort Hotel Casino,5,10.0,33,66,3025.0,Mar-May,True,April,Saturday,1,True,False,Couples,North America,Canada
176,True,True,True,8,The Palazzo Resort Hotel Casino,5,1.0,4,17,3025.0,Mar-May,True,May,Saturday,1,True,False,Couples,Europe,France
177,True,True,True,71,The Palazzo Resort Hotel Casino,5,10.0,20,57,3025.0,Mar-May,True,May,Friday,1,True,False,Business,Europe,UK
178,True,True,True,22,The Palazzo Resort Hotel Casino,5,6.0,8,42,3025.0,Jun-Aug,True,June,Monday,1,True,False,Friends,North America,USA
179,True,True,True,14,The Palazzo Resort Hotel Casino,5,8.0,20,28,3025.0,Jun-Aug,True,June,Friday,0,True,False,Couples,North America,USA
180,True,True,True,10,The Palazzo Resort Hotel Casino,5,3.0,8,19,3025.0,Jun-Aug,True,July,Wednesday,1,True,False,Friends,Europe,Spain
